filename,format,file_path,size_kb,page_count,folder,extraction_coverage,extraction_method,year_confidence,drawing_mode,is_data_asset,info_value_hint,information_type,year,domain,scale,lifecycle,domain_candidates,asset_type,asset_type_candidates,short_summary,keywords,governance,confidentiality,confidentiality_reason,certainty,certainty_score,certainty_reason,age_warning,review_priority,action,review_reasons,authority,authority_reason,scope,scope_reason,urgency,urgency_reason,coverage,coverage_reason,accessibility,accessibility_reason,decision_priority_reason,_reasoning,llm_status,processed_at
07_housing_restructuring_strategy.txt,TXT,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/01_strategy/07_housing_restructuring_strategy.txt,1,,01_strategy,full content (1124 chars),text,low,,No,Medium,Unknown,,Architecture & Buildings,Neighborhood / District,Concept / Schematic,"Architecture & Buildings, Project Management, Reference & Research",Document,"Document, Data, Archive","Housing restructuring strategy for Amsterdam Bijlmermeer explores repair techniques, infill development options, and building replacement criteria to guide urban renewal planning decisions, such as prioritizing high-rise renovations or new infill housing projects, supporting the project phase's specific planning actions.","housing, urban renewal, Amsterdam, strategy, infill, replacement",Internal,Not Confidential,"Filename and content do not contain any labels or signals indicating confidentiality, and it is a planning strategy document.",Medium,65,"Folder path indicates urban renewal strategy for Amsterdam Bijlmermeer, with filename suggesting a housing restructuring",,Low,Auto-process,,Advisory,"The document provides strategic options and recommendations for housing restructuring, which are best-practice guidelines rather than mandatory constraints.",Whole Project,"It influences overall urban renewal strategies, including repair, infill, and replacement decisions affecting multiple housing clusters and planning approaches.",Relevant,"The file aligns with the current Concept/Schematic phase, offering strategic guidance that supports ongoing decision-making but does not directly resolve immediate open decisions.",Partial,"It discusses strategic options and testing scenarios but lacks detailed technical or site-specific data, requiring supplementary documents for full project context.",Expert Extractable,"The content is written in accessible language with clear strategic recommendations, enabling project team members to interpret and consider its guidance without specialized expertise.","This file directly informs the decision on which housing restructuring approach to pursue—repair, infill, or replacement—by presenting tested options and their implications. Its strategic insights are unique within the project, providing a conceptual basis that no generic source can substitute. The 'Concept / Schematic' phase is optimal for integrating these options into the evolving master plan, ensuring decisions are aligned with urban renewal goals before detailed design begins.","Folder path indicates urban renewal strategy for Amsterdam Bijlmermeer, with filename suggesting a housing restructuring plan. Content discusses strategic options for existing and new housing, supporting decision-making on repair, infill, or replacement clusters. The detailed options and placeholders point to a conceptual or planning phase document. The filename and folder context strongly suggest a planning or strategy document at the concept or schematic stage.",,2026-09-16 15:01
09_social_impact_assessment.txt,TXT,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/01_strategy/09_social_impact_assessment.txt,1,,01_strategy,full content (1249 chars),text,unknown,,No,Medium,Unknown,,Administrative & Legal,Neighborhood / District,Concept / Schematic,"Administrative & Legal, Project Management, Reference & Research",Document,Document,"A social impact assessment analyzing the benefits, harms, and mitigation strategies for urban renewal in Amsterdam Zuidoost, including specific measures such as increased affordable housing units, community-led planning processes, and compliance with local zoning codes.","social impact, urban renewal, Amsterdam Zuidoost, community, displacement",Internal,Not Confidential,Content is a plain text social impact assessment with no sensitive or legal information.,Medium,60,"Folder path indicates urban renewal project in Amsterdam Zuidoost, with filename tokens 'social' and 'impact' suggesting",,Low,Auto-process,,Advisory,The document provides social impact insights and mitigation strategies that influence urban renewal planning but do not constitute legal or regulatory mandates.,Whole Project,"It addresses social considerations affecting the entire urban renewal project, including community engagement, displacement, and mitigation measures.",Relevant,"The project is in the Concept / Schematic phase, and the social impact assessment directly informs decision-making on community-related strategies before detailed design begins.",Mostly Complete,"The document covers key social impact topics, benefits, harms, and mitigation strategies, but lacks detailed technical or design-specific data.",Stated Conclusions,"The report clearly states social benefits, harms, and mitigation commitments in plain language, enabling project team members to incorporate findings without expert interpretation.","This file directly informs the decision to proceed with a resident continuity plan and disruption budget, which are critical for shaping the social approach in early design stages. Its specific focus on social mitigation measures provides unique, project-specific guidance that generic sources cannot substitute, making it essential to review now to align urban renewal strategies with community needs and avoid costly redesigns later.","Folder path indicates urban renewal project in Amsterdam Zuidoost, with filename tokens 'social' and 'impact' suggesting a social impact assessment. Content sample confirms focus on social benefits, harms, and mitigation strategies, supporting urban planning and community engagement decisions. No explicit design or technical details are present, aligning with a narrative report at the conceptual or planning stage.",,2026-09-16 15:01
10_stakeholder_matrix.xlsx,XLSX,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/01_strategy/10_stakeholder_matrix.xlsx,6,,01_strategy,all 2 sheet(s) — first 5 rows each,text,high,,Yes,Medium,Unknown,2025.0,Project Management,Neighborhood / District,Construction Documents,"Project Management, Administrative & Legal, QS & Commercial",Data,"Data, Document, Archive","The file contains stakeholder engagement matrices and logs from Q2 2025, including details on community, government, and developer stakeholders, supporting decision-making and coordination during the urban renewal process.","stakeholder, engagement, project management, urban renewal, Amsterdam",Internal,Not Confidential,Filename and content sample show no explicit labels or signals of confidentiality.,High,90,The filename '10_stakeholder_matrix.xlsx' and folder path indicate a structured project management document related to u,,Low,Auto-process,,Advisory,"The file contains stakeholder engagement matrices and logs, which are typically best-practice guidance supporting decision-making but do not legally or physically constrain design choices.",Single Discipline,"The stakeholder and engagement data primarily influence community, legal, and project management aspects, affecting specific decisions within the broader urban renewal project rather than the entire project scope.",Relevant,"The file addresses ongoing stakeholder engagement activities relevant to current design coordination, but it does not directly resolve critical open decisions like facade material or courtyard levels, making it useful but not urgent at this phase.",Partial,"The file documents stakeholder engagement logs and matrices, but lacks detailed technical or design-specific data, thus providing a partial view of project influences.",Expert Extractable,"The stakeholder matrices and logs are structured data requiring domain knowledge to interpret their influence on design decisions, though the content is presented in a clear tabular format that can be understood by project team members with stakeholder engagement experience.","This file directly informs decisions related to community engagement, stakeholder influence, and project coordination, such as finalizing community review processes or addressing stakeholder concerns. It provides specific stakeholder interests and influence levels that no generic source can substitute, making it valuable for targeted stakeholder management decisions. Since the project is in the detailed design phase, understanding stakeholder positions now is critical to ensure ongoing engagement aligns with upcoming design reviews and approvals.","The filename '10_stakeholder_matrix.xlsx' and folder path indicate a structured project management document related to urban renewal. Content sample shows stakeholder and engagement data, typical of project management phase documentation. The file is from 2025, aligning with the project timeline, and the structured tabular data suggests a data asset type. It supports project management decision-making, specifically stakeholder engagement planning.",,2026-09-16 15:01
08_public_realm_strategy.txt,TXT,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/01_strategy/08_public_realm_strategy.txt,0,,01_strategy,full content (1005 chars),text,unknown,,No,Medium,Unknown,,Landscape & Public Realm,Neighborhood / District,Concept / Schematic,"Landscape & Public Realm, Civil & Infrastructure",Document,Document,"Strategy document outlines public realm improvements, including cycle routes, rain gardens, and social spaces, supporting urban renewal planning and landscape design decisions.","public realm, rain gardens, cycle routes, urban renewal, landscape strategy",Internal,Not Confidential,Filename and content do not indicate any confidentiality labels or sensitive information.,Medium,70,"Folder path indicates urban renewal strategy at district scale, and filename tokens suggest a focus on public realm plan",,Low,Auto-process,,Advisory,"The document provides strategic guidance and planning targets without statutory or regulatory mandates, influencing design decisions through best-practice recommendations.",Whole Project,"It outlines district-scale public realm strategies, affecting urban renewal planning, landscape, mobility, and water management decisions across the entire project area.",Relevant,"The project is in the Concept/Schematic phase, and the strategy directly informs ongoing design development, but it is not an immediate decision requirement for current design approvals.",Partial,"The document covers high-level public realm strategies, targets, and concepts but lacks detailed technical or construction-level information, requiring supplementary documents for full implementation.",Stated Conclusions,"The document clearly states design targets and strategic intentions in plain language, enabling project team members to interpret and incorporate its guidance without expert technical analysis.","This file directly addresses the urban renewal public realm strategy, providing specific spatial and design targets that influence landscape, mobility, and water management decisions. Its unique value lies in linking multiple domains at a district scale, which no generic source can substitute. Given the project's current phase, integrating these strategic insights now ensures alignment with overall urban renewal goals and supports informed decision-making in schematic design.","Folder path indicates urban renewal strategy at district scale, and filename tokens suggest a focus on public realm planning. Content sample describes public space design targets, linking landscape, mobility, and water management, supporting landscape and public realm classification. The document appears to be a strategy or planning guideline for public spaces within the project.",,2026-09-16 15:01
06_urban_renewal_framework.txt,TXT,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/01_strategy/06_urban_renewal_framework.txt,1,,01_strategy,full content (1407 chars),text,unknown,,No,High,Unknown,,Landscape & Public Realm,Neighborhood / District,Concept / Schematic,"Landscape & Public Realm, Reference & Research",Document,Document,"A synthetic urban renewal framework outlining spatial principles, decision gates, and design criteria for Amsterdam Bijlmermeer, supporting strategic planning and urban design decisions.","urban renewal, Amsterdam Bijlmermeer, spatial principles, urban design, neighborhood planning",Internal,Not Confidential,Content is textual planning strategy with no explicit confidentiality labels.,High,90,"Folder path indicates urban renewal strategy for Amsterdam Bijlmermeer, and filename tokens suggest a planning framework",,Low,Review confidentiality judgment,confidentiality signal conflict,Advisory,The document provides strategic urban design principles and decision gates that guide planning but do not impose mandatory constraints or regulations.,Whole Project,"It outlines overarching spatial principles, decision criteria, and strategic moves that influence the entire urban renewal project in Amsterdam Bijlmermeer.",Relevant,"The file is at the conceptual/strategic stage, providing guidance that supports ongoing decision-making but does not require immediate action for current design decisions.",Mostly Complete,"It offers a comprehensive strategic framework with key principles and decision points, though detailed technical or site-specific data are not included.",Stated Conclusions,"The document clearly states strategic principles and decision criteria in plain language, making it accessible to a broad project team without requiring domain expertise.","This file directly informs the selection of urban renewal packages and spatial strategies, particularly the decision at the end of the concept stage to choose between retrofit, public realm, or combined packages. Its unique value lies in the spatial principles and decision gates tailored specifically to the Bijlmermeer context, which no generic urban renewal guide can substitute. Given the project is in the conceptual/ schematic phase, this guidance is timely to shape upcoming design options and strategic choices.","Folder path indicates urban renewal strategy for Amsterdam Bijlmermeer, and filename tokens suggest a planning framework document. Content sample confirms focus on urban design principles, spatial strategies, and decision criteria for renewal packages. The document is at the conceptual/strategic planning stage, informing urban design and planning decisions.",,2026-09-16 15:01
01_case_overview.txt,TXT,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/00_case/01_case_overview.txt,2,,00_case,truncated at 2000 chars,text,unknown,,Yes,Medium,Unknown,,Project Management,Neighborhood / District,Concept / Schematic,"Project Management, Reference & Research",Data,"Data, Document, Media","The file provides an overview of a synthetic urban renewal case in Amsterdam Bijlmermeer, supporting decision-making on project scope, green infrastructure, and renewal strategies during the conceptual phase.","urban renewal, Amsterdam Zuidoost, Bijlmermeer, concept, planning, decision",Internal,Not Confidential,The filename and content do not indicate any explicit confidentiality labels or sensitive information.,Medium,60,"The file contains a textual overview of a synthetic urban renewal case in Amsterdam Zuidoost, focusing on project themes",,Low,Review confidentiality judgment,confidentiality signal conflict,Advisory,"The file provides a conceptual overview and supporting context for urban renewal strategies, which are typically advisory and flexible at this stage.",Whole Project,"It covers the entire hypothetical urban renewal case, including project themes, decision questions, and planning strategies affecting the overall project scope.",Relevant,"The file aligns with the Concept/Schematic phase, offering useful background and decision support, but does not address decisions that are currently stalled or critical to immediate design actions.",Partial,"It offers a high-level overview and synthetic case details but lacks detailed technical or design-specific data, requiring supplementary documents for full decision-making.",Stated Conclusions,"The document summarizes project themes and decision questions clearly, making it accessible to team members without requiring technical expertise to understand its main points.","This file directly informs the understanding of project scope, strategic themes, and decision questions at the conceptual stage, particularly around urban renewal strategies and green infrastructure. Its synthetic, high-level nature means it provides unique context that no generic source can substitute, especially for aligning team understanding. Reading it now ensures the team is grounded in the project’s overarching goals before detailed design decisions are made.","The file contains a textual overview of a synthetic urban renewal case in Amsterdam Zuidoost, focusing on project themes, decisions, and hypothetical scenarios. It supports understanding of project scope, planning strategies, and decision-making processes at the conceptual stage, specifically related to urban renewal and planning decisions.",,2026-09-16 15:01
05_case_assumptions.json,JSON,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/00_case/05_case_assumptions.json,1,,00_case,full content (1045 chars),text,unknown,,Yes,Medium,Unknown,,Civil & Infrastructure,City / Municipal,Concept / Schematic,"Civil & Infrastructure, Project Management, Reference & Research",Data,"Data, Document, Archive","Structured JSON file with detailed project assumptions, including specific land use codes, population targets, and infrastructure measurements, for the Amsterdam Bijlmermeer urban renewal, aiding in defining precise urban planning constraints and scope decisions in a case study.","urban renewal, Amsterdam, city planning, assumptions, infrastructure",Internal,Not Confidential,"Filename and content sample do not indicate any confidential information, and the file is synthetic for demonstration purposes.",Medium,65,"Folder path indicates civil and infrastructure scope at a city-wide level, and filename tokens suggest a focus on projec",,Low,Auto-process,,Advisory,The file contains assumptions and project context that guide planning but are not legally binding or regulatory mandates.,Whole Project,"The assumptions influence overall urban renewal planning, land use, and infrastructure scope decisions across the entire project area.",Relevant,"While the file provides important context, it does not address decisions that are currently open or critical at this phase, but it supports ongoing planning activities.",Partial,"The file documents key assumptions and project scope parameters but lacks detailed technical or design-specific data, leaving some gaps in comprehensive project documentation.",Stated Conclusions,"The content clearly states assumptions and project scope, making it understandable for team members involved in planning and urban design without requiring technical expertise.","This file directly informs the urban renewal scope, land use, and infrastructure assumptions, which are fundamental to defining the project's boundaries and constraints. Its unique value lies in the explicitly stated assumptions that shape the entire project framework, which generic sources cannot replace. At the 'Concept / Schematic' phase, clarifying these assumptions is critical to ensure alignment on project scope and to prevent scope creep or misinterpretation in subsequent design stages.","Folder path indicates civil and infrastructure scope at a city-wide level, and filename tokens suggest a focus on project assumptions and planning. Content sample confirms the document contains structured project assumptions and planning details, supporting urban renewal decision-making. The file is part of a synthetic case for demonstrating urban renewal archive classification, with no specific technical or design details.",,2026-09-16 15:01
04_existing_conditions_report.pdf,PDF,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/00_case/04_existing_conditions_report.pdf,4,1.0,00_case,1/1 pages · 1502 chars,text,unknown,,No,Medium,Unknown,,Civil & Infrastructure,Neighborhood / District,Design Development,"Civil & Infrastructure, Project Management",Document,"Document, Data, Archive","A synthetic report on existing conditions in Amsterdam Zuidoost, including detailed measurements of green space deficits, transportation infrastructure capacity, and ecological biodiversity gaps, supporting specific urban renewal strategies such as the implementation of new bike lanes and ecological corridors.","urban renewal, Amsterdam Zuidoost, existing conditions, neighborhood, infrastructure",Internal,Not Confidential,Filename and content do not indicate any explicit confidentiality labels or sensitive information.,Medium,60,"Folder path indicates urban renewal project in Amsterdam Zuidoost, and filename suggests a report on existing conditions",,Low,Auto-process,,Advisory,"The report provides synthetic, illustrative data intended for testing and training, not binding regulatory or contractual requirements.",Single Discipline,"It focuses on urban renewal conditions in a specific neighborhood, primarily informing urban planning and infrastructure decisions.",Relevant,"The file supports ongoing design development activities such as assessing existing conditions and planning interventions, but it is not critical for immediate decision-making.",Partial,"The report offers a high-level synthetic overview with some detailed measurements, but it explicitly states it is not an authentic or complete survey, leaving gaps in data.",Expert Extractable,The report contains technical observations and strategic recommendations that require domain expertise to interpret and apply effectively.,"This file directly informs decisions related to urban renewal strategies, such as prioritizing safe entrances, ecological corridors, and infrastructure repairs. Its unique value lies in its synthetic baseline, which helps validate planning assumptions and test design concepts at this stage. Given the current 'Design Development' phase, reading this report now ensures that the team considers existing condition constraints and opportunities before finalizing detailed design solutions.","Folder path indicates urban renewal project in Amsterdam Zuidoost, and filename suggests a report on existing conditions. Content sample describes a synthetic case study with project features, supporting urban planning and infrastructure decisions. The classification aligns with civil and urban planning documentation at the neighborhood scale during the design development phase.",,2026-09-16 15:01
03_historical_context.txt,TXT,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/00_case/03_historical_context.txt,1,,00_case,full content (1486 chars),text,unknown,,No,Medium,Unknown,,Reference & Research,Neighborhood / District,Concept / Schematic,"Reference & Research, Architecture & Buildings, Project Management",Document,"Document, Data, Media","Historical context note discusses Bijlmermeer’s planning history, specific social issues like housing segregation, and renewal policies such as the 2010 urban renewal program, supporting heritage preservation and urban identity decisions in schematic planning phases.","Bijlmermeer, urban renewal, historical context, Amsterdam Zuidoost, social inequalities",Internal,Not Confidential,Content contains historical and project context information without sensitive or legal data.,High,85,"Folder path indicates urban renewal project in Amsterdam Bijlmermeer, with the filename '03_historical_context.txt' sugg",,Low,Auto-process,,Background,"The file provides historical context and planning background, serving as a reference rather than a binding or regulatory document.",Single Discipline,"It primarily influences urban design and planning considerations related to heritage, memory, and identity within the schematic phase.",Relevant,"The document supports ongoing decision-making about spatial and cultural aspects of renewal, which are actively discussed in the current phase.",Partial,"It covers historical planning, social issues, and heritage considerations but does not include detailed technical or design data.",Stated Conclusions,"The text clearly articulates its focus on historical context and urban identity, making it accessible for team members involved in schematic planning without requiring expert interpretation.","This file directly informs decisions about which spaces should be preserved as collective memory landscapes and how to connect new developments with inherited structures. Its unique value lies in framing heritage and memory considerations within the renewal process, which generic references cannot substitute. Given the project's schematic stage, understanding historical context now is crucial to shape design principles that respect urban identity and social memory, ensuring these aspects are integrated into the spatial framework before detailed design progresses.","Folder path indicates urban renewal project in Amsterdam Bijlmermeer, with the filename '03_historical_context.txt' suggesting a focus on historical background and planning context. Content sample confirms it discusses historical planning, social issues, and project questions, supporting classification as a narrative document related to urban planning history. The file is part of a project management or research phase, providing background for decision-making on heritage and identity preservation.",,2026-09-16 15:01
12_housing_stock_inventory.xlsx,XLSX,demo_data/Amsterdam_Bijlmermeer_Urban_Renewal_Case/02_surveys/12_housing_stock_inventory.xlsx,6,,02_surveys,all 2 sheet(s) — first 5 rows each,text,unknown,,Yes,Medium,Unknown,,Architecture & Buildings,Neighborhood / District,Construction Documents,"Architecture & Buildings, Civil & Infrastructure, Project Management",Data,"Data, Document, Drawing","The file contains structured housing inventory data and inspection notes for Amsterdam Bijlmermeer, supporting retrofit and housing stock management decisions at district scale during construction documentation phase.","housing inventory, inspection notes, urban renewal, district, retrofitting",Internal,Not Confidential,Filename and content do not contain any labels or signals indicating confidentiality.,High,85,"The filename indicates a housing inventory in an urban renewal context, with structured tabular data on building units a",,Low,Auto-process,,Advisory,The file contains inspection notes and housing inventory data that support retrofit planning but do not constitute mandatory regulatory or physical constraints.,Single Discipline,"It directly informs housing stock assessment and retrofit priorities within the architecture and building domain, affecting decisions related to building condition and retrofit actions.",Relevant,"The data supports ongoing retrofit and housing management decisions during the construction documentation phase, particularly for prioritizing retrofit actions and inspections, which are critical at this stage.",Partial,"The file documents housing units and inspection issues but lacks comprehensive technical details or full project documentation, requiring supplementary data for complete decision-making.",Expert Extractable,The structured data and inspection notes are clear for domain experts; non-specialists may need interpretation to act on retrofit priorities or inspection findings.,"This file directly addresses the decision on retrofit prioritization for specific housing units, providing district-scale housing condition insights that are not available from generic sources. Its timing is critical now, as the project is in the detailed design phase, where retrofit actions and inspections are being finalized, making this data essential for guiding targeted retrofit efforts and inspection planning.","The filename indicates a housing inventory in an urban renewal context, with structured tabular data on building units and inspection notes. Content analysis shows it supports housing stock assessment and retrofit planning decisions. The folder path and content sample confirm its focus on urban infrastructure at district scale, with lifecycle in construction documentation phase.",,2026-09-16 15:01
